Crop_fr,Crop_en,Crop_family,Latin_name,Crop_type_Pennington_2009,Crop_type_RP,Crop_function_CTIFL
Figue,Fig,Moraceae,Ficus carica,Fruit,Fruits,Miscellaneous
,Finger millet,Poaceae,Eleusine coracana (L.) Gaertn.,,,
Lin,Flax ,Linaceae,Linum usitatissimum,,Cereals,
Millet des oiseaux,Foxtail millet,Poaceae,Setaria italica L. P. Beauv.,,,
Haricot,French bean,Fabaceae,Phaseolus vulgaris,Vegetable,Vegetables,Leguminous vegetables
Haricot vert ,French bean,Fabaceae,Phaseolus vulgaris,Vegetable,Vegetables,Leguminous vegetables
Œillet d'Inde,French marigold,Asteraceae,Tagetes patula L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Œillet d'Inde (Tagète),French marigold,Asteraceae,Tagetes patula L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Œillet du Japon,French marigold,Asteraceae,Tagetes patula,,"Medicinal, Aromatic Plants, Flowers & Others",
Arbres fruitiers (en général),Fruit trees (in general),Fruit trees,,,Fruits,
Ail,Garlic,Alliaceae,Allium sativum L.,Vegetable,Vegetables,Root vegetables
Ail (en vert),Garlic (spring),Alliaceae,Allium sativum L.,Vegetable,Vegetables,Root vegetables
Ail (en sec),Garlic (Stor.),Alliaceae,Allium sativum L.,Vegetable,Vegetables,Root vegetables
Glaïeul,Gladiolus,Iridaceae,Gladiolus communis L.,,"Medicinal, Aromatic Plants, Flowers & Others",
,Gliciridia,Fabaceae,Gliciridia sepium,,,
,Gmelina,Lamiaceae,Gmelina arborea Roxb,,,
Groseille,Gooseberry,Grossulariaceae,Ribes uva-crispa,,Shrubs & Berries,Berries
Herbe,Grass,Poaceae,Poa L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Gesse,Grass pea,Fabaceae,Lathyrus sativus L.,,Vegetables,
Ignam,Greater yam,Dioscoreaceae,Dioscorea alata L.,,Vegetables,
,Green chireta,Acanthaceae,Andrographis paniculata (Burm. f.) Wall. ex Nees,,,
Reine-claude ,Greengage,Rosaceae,Prunus domestica subsp. italica var. claudiana,Fruit,Fruits,Stone fruits
Glycine tubéreuse,Groundnut,Fabaceae,Apios americana Medik.,Vegetable,Vegetables,Root vegetables
,Hairy indigo,Fabaceae,Indigofera hirsuta L.,,,
